Top 100,Name,Pos,Org,Org Rk,Age
,Antony Peguero,RF,MIA,25,17.1444444
,Jordan McCants,SS,MIA,27,20.2083333
,Matt Dyer,C,TBR,48,24.0611111
,Cam Cannon,2B,BOS,58,24.8055555
,Osiris Johnson,CF,MIA,28,21.8
,Ronny Simon,3B,TBR,49,22.3027777
,Nick Decker,RF,BOS,59,22.8444444
,Bryan Gonzalez,RF,BOS,61,20.8833333
,Jerar Encarnacion,DH,MIA,31,24.7888888
,Javier Sanoja,SS,MIA,32,19.925
,Jhonny Piron,CF,TBR,55,18.1777777
,Alejandro Pie,3B,TBR,57,20.5166666
,Johan Lopez,2B,TBR,60,22.0222222
,Andre Lipcius,3B,DET,31,24.2055555
,Brendon Davis,SS,DET,32,25.0222222
,Jose De La Cruz,RF,DET,33,20.5916666
,Mario Feliciano,C,MIL,29,23.7111111
,Eduarqui Fernandez,RF,MIL,33,20.7111111
,Yosy Galan,RF,TEX,31,21.2805555
,Trevor Hauver,LF,TEX,32,23.7111111
,Will Wagner,2B,HOU,17,24.0194444
,J.C. Correa,C,HOU,18,23.8916666
,Yohel Pozo,C,TEX,34,25.1444444
,Jordan Nwogu,CF,CHC,46,23.4055555
,Zavier Warren,3B,MIL,41,23.5777777
,Ian Moller,C,TEX,36,19.7777777
,Yeison Santana,SS,CHC,48,21.6638888
,Luis Baez,RF,HOU,21,18.5694444
,Lolo Sanchez,CF,PIT,57,23.2861111
,Cristian Gonzalez,SS,HOU,22,20.7888888
,Tucupita Marcano,2B,PIT,58,22.8888888
,Luis Verdugo,SS,CHC,50,21.8166666
,J.J. Matijevic,1B,HOU,23,26.7277777
,Blake Sabol,C,PIT,60,24.5805555
,Cody Freeman,C,TEX,40,21.5861111
,Matt Mervis,1B,CHC,51,24.3055555
,Esteban Quiroz,2B,CHC,53,30.4694444
,Tsung-Che Cheng,SS,PIT,63,21.0833333
,Ismael Mena,CF,CHC,54,19.6833333
,Jackson Glenn,2B,PIT,64,24.7833333
,Davis Wendzel,SS,TEX,44,25.2027777
,Greg Deichmann,RF,CHC,55,27.1833333
,Yeferson Tineo,SS,TEX,47,18.8222222
,Dauri Lorenzo,SS,HOU,32,19.7694444
,Cameron Cauley,SS,TEX,48,19.5
,Jordan Brewer,CF,HOU,38,25.0138888
,Tyler Whitaker,RF,HOU,39,20.0111111
,Yendry Rojas,3B,SDP,19,17.525
,Brett Sullivan,C,SDP,20,28.4555555
,Will Holland,2B,MIN,29,24.3
,Yilber Herrera,SS,MIN,30,17.5583333
