Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Nick Mikolajchak,SIRP,24.8833333,,,Med,,,1,sa3010303
Trenton Denholm,SP,22.8611111,-1,1,Med,,,,sa3018139
Davis Sharpe,SP,22.6916666,1,1,Med,,,1,sa3018112
Carlos Duran,SIRP,21.1916666,-1,-1,Long,,-1,,sa3006404
Emmet Sheehan,MIRP,22.9,,1,Med,,-1,1,sa3017416
Nick Frasso,SP,23.975,1,-1,Long,,,1,sa3014492
Wilman Diaz,SS,18.9,-1,1,Short,60,,,sa3015694
Nick Nastrini,SIRP,22.6416666,1,,Med,,-2,,sa3017413
Joel Ibarra,MIRP,20.2472222,-1,1,Med,,,,sa3009326
Griff McGarry,MIRP,23.3361111,,,Med,,,-1,sa3017130
Cooper Kinney,3B,19.7,1,,Med,50,1,,sa3017793
Erik Miller,MIRP,24.6555555,,,Med,,1,1,sa3011336
Rene Pinto,C,25.9361111,,,Med,55,,,19859
Hao Yu Lee,2B,19.6833333,-1,,Med,50,,,sa3017863
Blake Hunt,C,23.9138888,,,Med,60,,,sa3004153
Francisco Morales,SIRP,22.95,1,1,Med,,1,-1,22913
Colby White,SIRP,24.2638888,,1,Med,,1,,sa3011200
Osleivis Basabe,2B,22.0722222,-1,1,Short,55,,,sa3006594
Nick Bitsko,SP,20.3138888,2,1,Long,,-2,1,sa3014476
JJ Goss,SP,21.7888888,-1,1,Med,,-1,,sa3011420
Simon Muzziotti,CF,23.7833333,,1,Short,55,,,19553
John Doxakis,SP,24.1361111,1,,Med,,,,sa1115967
Jhailyn Ortiz,RF,23.8916666,-2,-1,Med,60,,,sa920180
Tommy Romero,MIRP,25.2527777,,,Med,,1,1,23465
Yemal Flores,CF,18.8805555,-1,1,Short,,,,sa3015717
Austin Shenton,3B,24.7138888,-1,-1,Short,50,,,sa3009869
Eduar Segovia,SIRP,21.7472222,-1,,Med,,,-1,sa3008374
Calvin Faucher,SIRP,27.0472222,,,Med,,1,,20116
Austin Vernon,MIRP,23.6694444,1,,Long,,2,1,sa3017138
Diego Infante,RF,22.9638888,,,Med,,,,sa3003280
Antonio Jimenez,SP,21.425,-1,1,Med,,1,1,sa3008074
Miles Mastrobuoni,SS,26.9416666,,,Short,,,,20017
Chandler Simpson,2B,21.8916666,,1,Med,30,,,sa3020219
Kamren James,3B,22.3722222,1,,Med,60,,,sa3020201
Jordan Beck,RF,21.4722222,1,1,Med,50,1,,sa3019981
Chris McMahon,SP,23.6805555,1,,Long,,1,-1,sa3014429
Ryan Rolison,SP,25.2444444,,,Med,,,,sa3008244
Noah Davis,SP,25.4638888,,1,Med,,,-1,25862
Brainer Bonaci,2B,20.25,-1,-1,Med,70,1,,sa3008836
Joe Rock,SP,22.1944444,2,1,Long,,-1,-1,sa3017755
Franklin German,SIRP,25.0472222,,,Med,,,-1,24750
Brayan Castillo,SP,22.0777777,,,Med,,,,sa3006544
Eduard Bazardo,SIRP,27.1055555,1,1,Long,,,-1,20997
Luis Mendez,SS,19.9416666,-1,1,Short,60,,,sa3015650
Connor Wong,C,26.3888888,,1,Med,50,,,19896
Brenton Doyle,CF,24.4027777,2,1,Med,55,1,,sa3009965
Jacob Wallace,SIRP,24.1555555,,1,Long,,,-1,sa3010374
Helcris Olivarez,SIRP,22.1694444,1,1,Long,,-1,,sa3002965
Enmanuel Valdez,2B,23.7805555,-1,-1,Short,40,2,,sa917288
Colton Welker,3B,25,-1,-1,Med,50,1,,19961
Ronald Hernandez,C,18.9611111,,,Med,55,,,sa3015738
Niko Kavadas,DH,23.95,-2,-2,Med,40,2,,sa3017337
Hunter Goodman,C,23.0027777,,-2,Med,45,1,,sa3017173
